CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
5873233,5/16/2016 15:32,6/2/2016 4:36,6/2/2016 4:36,Closed,Case Resolved -,DPW BUF Queue,Tree Maintenance,Trees - Landscaping,Weeding,"445 BURNETT AVE, SAN FRANCISCO, CA, 94131",8,Upper Market,"(37.754314034266, -122.44384973742)",Voice In,
5653001,3/10/2016 14:56,3/14/2016 12:20,3/14/2016 12:20,Closed,Case Resolved - RPD staff have met on site with PG&E to assess the tree across from 1670 Sanchez (between Day Street and 30th) that is leaning into the power lines and over the recreation building's fence.  PG&E has stated that they will remove the tree from the power lines.  RPD Urban Foresters have also been notified and will take action once the tree is removed from the power lines.,RPD Park Service Area 5 Queue,Tree Maintenance,Trees - Damaged_Tree,About_to_fall,"1670 SANCHEZ ST, SAN FRANCISCO, CA, 94131",8,Noe Valley,"(37.742419738793, -122.428932930354)",Voice In,
5634336,3/6/2016 9:11,3/9/2016 2:36,3/9/2016 2:36,Closed,Case Resolved -,DPW BUF Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"2155 ALEMANY BLVD, SAN FRANCISCO, CA, 94112",11,Cayuga,"(37.718000063728, -122.44181946738)",Voice In,
5985024,6/16/2016 7:01,3/4/2017 13:26,3/4/2017 13:26,Closed,Case Resolved -,DPW Ops Queue,Tree Maintenance,Trees - Tree_Other,Other,"1097 YORK ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.754597043397, -122.408214560244)",Voice In,
5660149,3/13/2016 9:22,3/13/2016 18:57,3/13/2016 18:57,Closed,Case Resolved - made safe,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"233 BENNINGTON ST, SAN FRANCISCO, CA, 94110",9,Holly Park,"(37.737922512636, -122.417846538294)",Voice In,
6626454,12/14/2016 6:07,12/15/2016 6:10,12/15/2016 6:10,Closed,Cancelled -,DPW Ops Queue,Tree Maintenance,Trees - Landscaping,Other,"2300 CESAR CHAVEZ ST, SAN FRANCISCO, CA, 94124",10,Potrero Hill,"(37.749558721727, -122.400196279341)",Open311,
5660689,3/13/2016 13:42,,3/13/2016 13:42,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Tree_Other,Other,"530 JUNIPERO SERRA BLVD, SAN FRANCISCO, CA, 94127",7,Stonestown,"(37.72846043256, -122.472142816201)",Open311,
5660928,3/13/2016 15:55,,3/14/2016 8:57,Open,accepted,DPW BUF Queue,Tree Maintenance,Trees - Damaging_Property,Property_damage,"483 28TH ST, SAN FRANCISCO, CA, 94131",8,Noe Valley,"(37.744759048935, -122.433246623022)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56e5efe5df86ba9da0566a16/report.jpg
5633085,3/5/2016 20:40,,3/6/2016 15:49,Open,open,DPW BUF Queue,Tree Maintenance,Trees - Damaged_Tree,Fallen_tree,"1439 5TH AVE, SAN FRANCISCO, CA, 94122",5,Inner Sunset,"(37.76159947089, -122.461983509446)",Voice In,
6425757,10/16/2016 9:54,,10/16/2016 9:54,Open,open,DPW Ops Queue,Tree Maintenance,Trees - Overgrown_Tree,Pruning_request,Intersection of CONGO ST and MONTEREY BLVD,7,Sunnyside,"(37.7315740125774, -122.442020583893)",Open311,
